personnel_id,unit_type,role_operational_intensity,duty_hours_weekly,overtime_hours_weekly,deployment_duration_months,deployments_last_3_years,days_since_last_leave,leave_days_taken_annual,recovery_rest_days_monthly,avg_sleep_hours,sleep_disruption_index,physical_readiness_score,wellness_survey_score,peer_support_score,environmental_hardship_score,risk_score,risk_category
PX-11182,Infantry,Extreme,60.8,12.4,7.8,1,190,17.2,0.0,4.9,10.0,67.8,13.5,2.6,4.2,0.681,ELEVATED
PX-13168,Infantry,Medium,52.4,6.5,5.8,1,192,39.6,2.8,6.1,2.2,77.6,20.8,5.0,2.0,0.02,LOW
PX-12468,Combat Engineers,Extreme,62.7,9.2,9.6,2,248,12.0,0.2,4.0,8.8,70.8,7.6,3.7,4.3,0.79,ELEVATED
PX-14118,Artillery,High,39.4,0.0,8.7,2,222,30.0,2.2,5.8,6.4,66.2,17.5,2.8,3.6,0.312,LOW
PX-10222,Signals,Low,36.0,0.0,2.1,3,101,44.0,2.8,8.2,0.4,83.5,28.5,3.7,1.5,0.02,LOW
PX-12327,Infantry,High,52.7,2.5,9.4,5,252,23.7,2.4,6.1,,74.2,,3.6,4.0,0.329,LOW
PX-10373,Artillery,High,57.6,8.4,6.8,6,199,33.5,1.6,5.3,4.9,90.2,19.2,4.4,3.6,0.358,LOW
PX-13429,Air Defense,High,59.5,6.4,5.7,1,159,32.0,1.2,5.8,3.5,67.0,12.6,2.3,3.6,0.364,LOW
PX-10359,Combat Engineers,Extreme,68.2,15.0,7.5,6,221,27.5,0.3,4.3,10.0,60.2,5.4,3.1,3.9,0.76,ELEVATED
PX-12107,Medical Corps,Medium,41.7,0.0,6.3,1,243,39.8,2.8,6.1,4.2,81.6,21.1,4.0,3.0,0.128,LOW
PX-11166,Air Defense,High,47.9,0.0,9.2,3,232,30.9,1.3,6.6,4.8,85.5,18.3,4.1,4.1,0.084,LOW
PX-11923,Artillery,High,62.2,8.6,8.0,2,239,27.1,2.5,4.7,8.6,68.5,8.9,3.1,3.7,0.53,MODERATE
PX-14678,Infantry,High,66.1,14.1,7.0,3,222,21.8,3.2,4.6,8.5,73.4,14.8,4.8,3.0,0.487,MODERATE
PX-14252,Infantry,High,59.0,7.4,6.9,2,175,45.4,1.4,5.2,6.4,86.3,17.9,4.0,3.8,0.403,MODERATE
PX-14159,Infantry,High,55.9,7.1,12.5,1,289,13.3,1.3,5.8,5.7,75.4,15.4,3.6,4.0,0.363,LOW
PX-11988,Medical Corps,Low,38.0,0.0,2.6,1,115,53.1,4.1,6.9,0.0,83.3,25.6,4.3,1.6,0.02,LOW
PX-12828,Air Defense,High,52.5,5.0,7.4,3,203,24.2,2.1,6.0,5.1,78.7,18.0,3.5,3.8,0.263,LOW
PX-11491,Air Defense,High,54.1,4.2,9.1,3,221,26.1,0.7,5.3,,74.0,15.5,3.3,3.2,0.483,MODERATE
PX-12714,Logistics & ASC,Low,45.6,0.0,2.3,0,141,55.5,3.8,6.2,2.1,78.2,21.1,3.7,1.9,0.02,LOW
PX-12904,Artillery,Extreme,64.3,9.9,12.8,3,275,16.7,0.8,3.5,10.0,76.1,11.5,4.4,4.6,0.8,ELEVATED
PX-13185,Infantry,Extreme,58.0,13.0,17.3,2,365,11.1,0.6,4.1,8.5,54.7,6.6,3.2,3.9,0.846,ELEVATED
PX-14144,Armored,Low,57.0,6.8,6.1,4,254,41.9,3.2,6.6,1.6,76.0,18.4,4.0,2.1,0.072,LOW
PX-12846,Infantry,High,56.2,2.9,7.6,2,256,41.6,0.4,6.3,4.1,71.8,18.8,3.8,3.9,0.25,LOW
PX-14889,Medical Corps,High,46.0,2.7,13.6,5,313,20.8,2.1,5.4,5.7,81.2,16.7,4.4,3.1,0.336,LOW
PX-11950,Medical Corps,Medium,50.8,3.4,4.5,3,137,38.3,2.6,5.9,2.2,80.9,17.9,2.7,2.6,0.058,LOW
PX-10024,Air Defense,High,47.7,0.0,5.9,2,210,25.9,4.8,4.8,5.7,67.5,18.2,3.8,4.0,0.318,LOW
PX-11558,Signals,High,54.0,6.3,6.1,2,165,32.9,1.0,4.7,6.4,76.4,14.5,3.7,3.6,0.348,LOW
PX-10533,Signals,Low,37.2,0.0,3.3,2,119,60.0,2.4,8.5,0.0,88.3,24.5,3.5,1.1,0.02,LOW
PX-13010,Artillery,Extreme,67.6,13.5,8.3,3,209,15.2,0.0,4.7,9.3,68.4,14.3,3.3,4.9,0.695,ELEVATED
PX-11043,Signals,Extreme,61.3,13.0,8.1,0,225,24.3,0.0,4.4,8.1,50.1,13.6,4.3,5.0,0.621,MODERATE
PX-11550,Infantry,Extreme,73.9,22.2,9.4,5,276,17.9,0.3,3.7,10.0,78.8,6.7,4.0,4.2,0.803,ELEVATED
PX-13551,Combat Engineers,High,55.0,4.2,8.2,1,211,31.3,2.9,6.3,5.4,60.0,20.5,4.9,3.6,0.227,LOW
PX-12120,Artillery,Medium,59.9,5.5,6.4,1,179,43.1,3.8,6.1,2.7,88.8,20.2,4.1,2.3,0.102,LOW
PX-14310,Combat Engineers,Medium,41.4,0.0,12.4,1,286,19.9,3.2,7.4,2.2,73.3,22.2,3.6,1.9,0.144,LOW
PX-10796,Infantry,High,53.8,4.2,6.4,3,194,27.6,1.9,7.0,5.2,71.0,16.1,3.8,3.1,0.201,LOW
PX-13421,Artillery,High,50.2,2.0,6.7,3,292,30.3,2.8,5.7,6.3,69.1,12.3,2.9,3.3,0.352,LOW
PX-12321,Infantry,Low,45.0,0.4,2.2,0,126,47.3,5.0,6.6,1.8,75.8,22.2,2.9,1.7,0.02,LOW
PX-13902,Signals,Medium,52.1,2.5,12.3,0,300,36.2,2.8,7.6,2.1,71.6,17.3,3.7,1.9,0.127,LOW
PX-14751,Combat Engineers,Extreme,72.8,16.8,7.4,2,295,17.7,1.1,4.3,10.0,66.9,13.6,3.3,4.6,0.739,ELEVATED
PX-12310,Medical Corps,Medium,57.5,5.1,5.7,1,189,36.0,2.9,6.7,1.8,72.0,18.9,3.8,2.9,0.025,LOW
PX-14927,Armored,Low,50.4,0.4,3.0,4,104,44.2,3.1,6.9,0.0,89.8,24.7,4.2,1.2,0.02,LOW
PX-12746,Infantry,High,60.7,12.4,8.4,2,261,26.2,1.1,6.2,6.2,,16.8,3.9,3.0,0.37,LOW
PX-10762,Infantry,High,54.6,5.4,6.4,5,179,28.7,4.4,5.2,6.7,77.7,14.1,3.7,3.6,0.304,LOW
PX-11037,Armored,Medium,48.1,0.0,9.2,1,219,43.2,1.7,5.6,3.9,74.6,17.2,4.6,2.3,0.192,LOW
PX-13782,Logistics & ASC,Extreme,72.9,18.5,8.1,1,191,9.5,0.0,4.1,10.0,68.3,6.0,2.8,4.9,0.785,ELEVATED
PX-10050,Infantry,Medium,44.0,0.0,3.7,1,122,40.1,3.5,6.1,3.7,78.8,26.3,4.9,2.7,0.02,LOW
PX-11103,Air Defense,High,55.5,4.3,7.6,2,208,24.3,1.6,4.6,5.9,80.8,20.7,5.0,3.6,0.331,LOW
PX-11357,Armored,Extreme,57.8,6.3,7.5,3,316,16.0,0.6,5.5,6.8,74.4,16.0,3.9,4.1,0.432,MODERATE
PX-13445,Artillery,Low,51.9,3.3,3.7,2,115,52.3,3.4,7.0,0.9,90.2,16.5,3.3,1.8,0.02,LOW
PX-14839,Infantry,Extreme,63.7,12.1,10.5,1,260,32.3,1.8,5.1,8.4,64.8,13.2,3.1,4.7,0.701,ELEVATED
PX-12710,Medical Corps,Medium,46.9,1.2,4.8,2,148,50.8,2.8,5.8,5.4,86.9,23.1,4.8,2.9,0.03,LOW
PX-10394,Infantry,High,47.9,0.0,6.5,2,209,37.5,1.9,5.3,5.3,69.8,17.9,3.4,3.4,0.274,LOW
PX-12523,Combat Engineers,Medium,55.4,8.8,3.8,2,186,40.7,2.2,5.2,4.8,81.5,15.4,4.4,2.2,0.252,LOW
PX-11702,Artillery,Extreme,70.5,13.0,7.5,4,197,18.5,0.0,5.2,9.1,81.1,11.8,4.0,4.6,0.549,MODERATE
PX-13594,Infantry,Low,44.9,0.0,2.4,1,126,56.6,5.1,6.0,,82.8,20.8,4.7,2.0,0.02,LOW
PX-12045,Infantry,Extreme,63.0,12.0,11.5,4,256,9.8,0.0,4.6,9.1,70.4,3.3,3.5,4.8,0.768,ELEVATED
PX-11311,Logistics & ASC,High,58.9,7.4,6.2,2,160,36.2,2.2,5.0,7.4,71.4,13.2,3.9,3.2,0.379,LOW
PX-10413,Logistics & ASC,Low,49.4,3.8,7.4,1,222,43.6,3.6,6.5,1.6,78.5,21.2,4.2,1.7,0.02,LOW
PX-10876,Artillery,High,63.5,15.0,7.1,1,178,33.9,2.5,5.1,7.9,68.4,14.8,4.0,3.6,0.443,MODERATE
PX-10826,Combat Engineers,High,52.6,5.3,5.6,1,165,35.6,2.6,6.4,5.0,85.8,18.0,3.0,4.0,0.117,LOW
PX-14782,Logistics & ASC,Medium,51.1,0.7,4.7,3,138,48.5,4.2,7.2,1.3,81.0,18.0,3.4,2.9,0.02,LOW
PX-14896,Infantry,High,56.9,6.0,6.0,2,156,33.9,0.0,6.0,6.2,83.0,15.6,3.7,3.3,0.277,LOW
PX-13981,Armored,High,58.1,6.0,8.1,2,212,20.4,1.2,5.5,6.2,70.3,13.5,3.4,3.0,0.399,MODERATE
PX-10246,Combat Engineers,High,53.1,3.7,5.7,1,158,27.8,2.0,5.6,6.5,79.3,15.9,3.0,3.6,0.301,LOW
PX-13122,Artillery,High,55.3,7.9,10.1,1,240,23.0,2.1,5.1,6.1,65.5,17.5,4.0,3.2,0.433,MODERATE
PX-14403,Artillery,Medium,44.6,0.0,4.5,3,144,42.9,3.1,6.2,1.8,80.8,26.3,3.3,2.6,0.02,LOW
PX-14976,Armored,High,59.4,6.6,6.2,4,179,30.1,3.5,5.5,,75.8,13.2,2.6,4.2,0.462,MODERATE
PX-13849,Artillery,Extreme,59.7,6.7,8.0,4,241,26.3,0.7,5.6,6.2,72.3,19.2,4.3,4.7,0.381,MODERATE
PX-14544,Artillery,High,55.6,6.1,5.7,1,154,26.1,0.5,5.7,4.9,78.4,12.8,3.1,3.9,0.338,LOW
PX-10272,Infantry,Extreme,69.7,12.5,8.2,1,227,23.4,1.4,3.5,10.0,64.3,6.8,3.6,4.6,0.811,ELEVATED
PX-14221,Infantry,Medium,52.6,2.8,11.1,2,334,32.6,4.9,6.9,2.5,78.5,18.0,3.8,2.0,0.122,LOW
PX-10183,Artillery,High,60.6,8.1,7.0,2,198,27.7,0.7,5.8,7.2,,10.3,3.4,4.1,0.445,MODERATE
PX-12558,Armored,Extreme,71.6,16.2,7.3,5,177,14.0,0.7,4.8,9.9,71.2,8.5,3.1,3.9,0.69,ELEVATED
PX-12798,Signals,Medium,49.8,3.1,4.4,2,166,47.0,2.7,6.1,3.8,87.6,18.2,4.5,1.9,0.045,LOW
PX-10615,Signals,Low,41.7,0.0,3.1,2,142,59.7,2.3,7.5,0.0,87.2,24.0,3.8,1.6,0.02,LOW
PX-10795,Artillery,High,44.9,0.0,7.2,1,230,37.9,3.5,5.6,5.0,80.8,14.9,2.7,4.0,0.26,LOW
PX-11288,Armored,Medium,53.2,1.2,3.8,2,114,44.2,2.6,7.8,0.4,88.1,26.3,4.3,2.4,0.02,LOW
PX-14969,Combat Engineers,High,55.5,4.8,7.7,2,206,27.3,3.4,6.2,4.4,93.6,16.5,3.3,3.5,0.129,LOW
PX-11984,Combat Engineers,Medium,44.9,0.0,12.6,0,273,33.9,2.9,6.4,3.0,73.1,17.1,2.9,1.9,0.194,LOW
PX-10694,Logistics & ASC,Medium,51.7,3.5,7.7,2,188,31.7,1.0,6.4,3.2,82.6,18.5,4.5,2.5,0.184,LOW
PX-12565,Artillery,Extreme,65.8,14.1,11.2,5,311,24.4,0.1,6.7,7.8,65.6,17.7,4.8,4.6,0.394,MODERATE
PX-14390,Infantry,High,56.7,10.4,7.9,2,197,32.3,2.0,4.8,5.7,78.8,,3.5,3.8,0.44,MODERATE
PX-11270,Medical Corps,Medium,49.4,3.0,5.1,3,206,38.0,2.7,5.8,3.5,81.9,20.6,4.4,2.6,0.165,LOW
PX-13675,Logistics & ASC,Medium,60.6,11.5,3.7,1,237,42.3,0.7,5.6,4.7,86.9,14.4,3.0,2.3,0.363,LOW
PX-14630,Artillery,High,57.5,10.6,6.2,1,210,35.9,1.7,4.9,6.6,71.9,16.3,3.3,3.3,0.418,MODERATE
PX-11938,Infantry,Low,40.7,0.0,2.4,0,140,48.4,7.0,7.9,0.0,79.4,27.5,4.3,2.1,0.02,LOW
PX-11596,Infantry,Medium,48.2,0.1,4.2,3,123,42.2,1.8,6.5,4.2,78.7,26.6,4.8,2.2,0.02,LOW
PX-14875,Combat Engineers,High,51.5,5.8,11.7,1,293,20.3,2.5,5.4,6.1,74.8,14.5,3.8,3.4,0.391,MODERATE
PX-12630,Infantry,High,57.0,4.3,11.6,1,255,17.1,1.8,5.2,6.1,86.6,15.5,4.1,4.2,0.501,MODERATE
PX-10054,Signals,High,57.0,9.2,7.2,2,178,43.6,2.3,4.6,7.0,62.6,13.5,2.7,3.2,0.527,MODERATE
PX-14269,Signals,High,55.5,6.0,8.1,3,229,33.9,1.7,6.5,4.6,75.5,18.0,2.5,3.3,0.253,LOW
PX-13931,Combat Engineers,Medium,42.3,0.0,4.2,4,176,42.5,2.3,7.5,0.0,85.2,23.0,3.3,2.8,0.02,LOW
PX-11102,Air Defense,High,50.0,0.0,10.4,2,283,24.5,1.8,4.8,7.8,,,4.2,3.0,0.433,MODERATE
PX-14560,Medical Corps,Medium,48.8,0.0,9.7,2,227,27.4,2.0,6.4,2.3,93.2,18.8,4.1,2.6,0.125,LOW
PX-11406,Medical Corps,Extreme,58.3,7.9,11.0,1,246,25.5,0.3,5.3,6.7,70.7,12.1,2.9,4.7,0.606,MODERATE
PX-13910,Armored,Medium,48.6,1.5,6.0,3,202,32.4,2.6,6.5,4.3,71.7,26.3,3.9,2.1,0.053,LOW
PX-13915,Artillery,Medium,48.5,2.0,4.4,3,129,50.3,2.2,6.9,1.7,83.9,21.7,4.1,1.9,0.02,LOW
PX-11743,Medical Corps,Low,41.4,0.0,9.6,3,237,45.5,1.7,7.8,0.6,88.2,21.5,3.9,1.1,0.02,LOW
PX-10256,Air Defense,High,53.9,4.0,5.7,2,225,27.5,1.8,5.3,6.3,76.7,15.4,3.5,3.0,0.321,LOW
PX-12437,Signals,Medium,48.2,2.0,4.0,1,192,40.9,2.7,6.0,3.2,66.0,17.9,3.4,2.3,0.168,LOW
PX-12563,Armored,Medium,50.3,3.0,6.0,2,155,36.0,2.9,6.2,3.4,88.3,16.1,3.4,2.2,0.138,LOW
PX-10058,Infantry,High,56.0,4.5,7.5,1,209,38.0,1.9,6.0,5.3,54.0,14.2,3.7,3.7,0.376,LOW
PX-14204,Signals,Low,42.1,0.0,4.6,1,160,32.9,3.6,8.2,0.0,94.8,29.2,3.7,1.6,0.02,LOW
PX-13334,Artillery,Medium,49.5,0.0,14.2,0,341,23.7,3.7,5.7,4.6,78.6,14.5,4.1,2.3,0.307,LOW
PX-13433,Infantry,High,54.7,7.4,5.5,0,148,32.8,1.3,5.6,6.3,71.0,17.1,3.3,4.0,0.34,LOW
PX-13180,Logistics & ASC,Low,46.4,0.0,4.3,1,125,45.3,3.5,7.0,0.8,93.1,20.7,4.0,1.3,0.02,LOW
PX-10598,Medical Corps,Medium,48.8,1.7,6.6,1,250,36.5,2.8,6.2,3.2,,18.5,3.1,2.3,0.22,LOW
PX-11272,Artillery,High,58.2,8.2,9.7,1,220,16.6,1.6,5.5,5.5,74.8,11.3,3.3,3.2,0.43,MODERATE
PX-12682,Infantry,High,52.5,2.1,6.3,2,203,37.5,1.6,7.3,2.6,69.8,16.7,2.9,3.4,0.176,LOW
PX-12492,Infantry,Extreme,62.1,10.6,11.2,3,257,15.9,0.1,4.6,9.0,62.1,12.5,4.0,4.0,0.777,ELEVATED
PX-12600,Armored,Extreme,65.7,9.8,8.8,3,208,9.4,0.0,4.0,10.0,77.3,10.1,3.0,4.7,0.682,ELEVATED
PX-13165,Signals,Medium,39.4,0.0,4.7,1,145,56.0,2.9,7.2,1.7,88.9,24.1,4.5,2.8,0.02,LOW
PX-13489,Armored,High,63.1,9.2,9.3,1,213,26.6,2.2,4.7,8.6,67.9,10.0,3.3,3.0,0.58,MODERATE
PX-14212,Armored,Low,50.4,3.5,4.3,0,130,53.0,2.6,7.1,1.4,74.8,20.8,3.6,1.5,0.02,LOW
PX-13978,Armored,High,58.5,4.4,14.8,2,330,14.7,3.2,4.8,7.2,69.0,10.1,3.8,3.8,0.578,MODERATE
PX-14712,Combat Engineers,Extreme,59.0,5.2,9.4,3,235,31.1,1.3,5.0,8.2,68.3,18.9,4.4,4.8,0.527,MODERATE
PX-12632,Logistics & ASC,High,60.0,10.6,13.9,0,335,15.9,0.7,5.4,4.7,64.3,11.3,2.9,3.0,0.485,MODERATE
PX-12674,Combat Engineers,High,60.0,8.2,8.6,1,206,33.6,2.0,5.5,4.2,79.4,16.8,3.9,3.3,0.363,LOW
PX-14655,Logistics & ASC,High,53.2,6.0,8.2,4,221,30.7,2.7,5.6,4.8,70.3,18.0,4.3,3.8,0.239,LOW
PX-13245,Combat Engineers,Medium,43.2,0.0,8.7,0,220,42.8,4.6,6.0,3.4,100.0,21.3,3.9,2.1,0.02,LOW
PX-13465,Air Defense,High,59.3,6.1,6.9,1,202,19.9,3.3,4.6,7.4,65.1,13.6,3.8,3.5,0.511,MODERATE
PX-11447,Combat Engineers,High,65.4,10.3,5.6,3,197,39.9,3.1,5.3,8.5,81.4,12.8,3.5,3.3,0.362,LOW
PX-12249,Artillery,High,56.3,6.7,18.0,2,365,8.0,2.1,5.3,5.7,89.0,13.7,4.1,3.8,0.46,MODERATE
PX-10855,Armored,High,49.3,0.0,5.6,1,154,29.9,0.9,6.3,4.3,69.1,21.2,3.4,3.9,0.193,LOW
PX-14924,Armored,Low,53.4,5.7,3.7,3,113,55.8,3.0,7.4,0.2,80.1,23.3,4.1,2.0,0.02,LOW
PX-13490,Combat Engineers,Medium,52.0,5.5,6.2,4,217,36.3,2.8,6.5,3.6,79.9,,3.6,2.9,0.095,LOW
PX-12946,Artillery,Extreme,57.7,8.4,11.4,3,262,17.1,1.2,4.7,7.6,61.7,17.3,4.7,4.1,0.596,MODERATE
PX-11195,Infantry,High,64.5,9.3,10.1,3,230,25.3,1.2,5.3,8.4,83.8,10.6,4.4,3.2,0.605,MODERATE
PX-12918,Infantry,Extreme,61.0,11.7,8.1,1,225,26.4,0.9,4.6,8.6,66.4,14.8,3.7,4.4,0.548,MODERATE
PX-14069,Infantry,Medium,48.0,0.0,8.9,2,211,27.7,4.8,6.2,2.5,80.7,20.2,4.2,1.9,0.103,LOW
PX-13507,Air Defense,Medium,46.8,0.0,5.0,3,142,47.0,2.1,6.3,3.6,78.9,21.9,4.3,2.4,0.02,LOW
PX-11028,Signals,High,52.0,0.8,7.3,2,217,38.4,1.9,5.3,5.0,61.7,12.4,2.8,3.9,0.372,LOW
PX-10208,Infantry,Low,40.6,0.0,2.3,2,88,52.1,5.1,7.3,0.6,83.5,21.8,3.1,2.0,0.02,LOW
PX-10591,Armored,High,47.1,1.2,10.0,1,230,22.4,2.3,5.9,5.4,69.1,21.6,4.3,3.8,0.316,LOW
PX-11132,Infantry,High,61.0,8.9,10.9,3,338,26.9,1.7,6.0,5.3,65.7,15.1,3.9,3.0,0.383,MODERATE
PX-11002,Infantry,High,60.0,3.3,6.3,1,228,23.9,2.6,5.3,6.3,72.1,15.1,4.5,3.7,0.401,MODERATE
PX-11129,Medical Corps,Low,44.1,0.0,12.0,0,270,37.0,2.3,6.6,3.0,84.8,20.5,3.5,1.6,0.098,LOW
PX-11523,Air Defense,Medium,43.4,0.0,4.4,2,180,37.8,3.6,6.8,2.4,76.2,21.0,4.3,2.5,0.02,LOW
PX-14647,Infantry,High,57.3,7.5,18.0,3,365,13.2,1.7,5.9,6.2,79.0,13.0,4.3,3.2,0.397,MODERATE
PX-10432,Signals,Medium,54.6,7.4,9.7,1,321,30.5,3.8,6.1,4.5,80.0,16.8,3.3,2.6,0.271,LOW
PX-14785,Logistics & ASC,Medium,60.5,8.7,4.5,3,205,34.4,2.5,6.4,4.9,86.9,15.2,3.4,2.0,0.159,LOW
PX-14772,Infantry,High,53.2,6.0,7.6,0,221,21.1,2.6,5.1,6.0,70.0,12.8,3.7,3.3,0.301,LOW
PX-10906,Armored,High,46.8,0.7,5.9,2,178,25.3,1.3,5.1,6.1,84.2,14.5,2.9,3.0,0.304,LOW
PX-13052,Signals,High,56.0,3.9,7.2,3,273,23.9,3.1,6.3,4.6,65.9,18.2,3.1,3.5,0.215,LOW
PX-12718,Infantry,Extreme,55.7,4.0,14.6,2,327,20.0,0.9,5.1,7.2,72.7,13.2,3.6,4.5,0.605,MODERATE
PX-12499,Armored,Low,49.1,0.0,3.5,4,120,55.5,4.8,7.9,1.1,85.8,28.0,3.7,2.0,0.02,LOW
PX-13692,Infantry,Low,49.5,1.9,2.9,2,108,42.7,3.6,7.5,1.1,76.9,19.7,2.8,2.0,0.02,LOW
PX-10703,Logistics & ASC,Medium,55.2,5.5,4.3,1,126,41.4,4.7,6.7,2.6,87.0,,2.9,2.7,0.068,LOW
PX-14287,Infantry,High,64.8,13.0,9.6,1,322,27.5,1.7,5.3,8.0,80.3,7.9,4.1,4.1,0.562,MODERATE
PX-13923,Logistics & ASC,Low,36.0,0.0,9.3,0,238,44.4,3.6,8.5,1.1,76.1,27.3,4.3,1.7,0.02,LOW
PX-10905,Signals,High,55.4,3.2,14.0,1,327,24.5,2.0,4.1,8.0,72.3,11.0,4.2,3.6,0.598,MODERATE
PX-12204,Artillery,High,62.1,11.2,6.8,3,277,31.5,0.7,5.1,8.1,77.4,11.5,3.7,3.0,0.575,MODERATE
PX-11928,Infantry,Medium,49.4,1.1,6.1,5,177,49.2,2.7,6.8,3.8,78.1,22.4,3.9,2.5,0.02,LOW
PX-12390,Combat Engineers,Medium,53.3,6.0,6.0,1,179,37.3,3.3,6.2,4.8,84.2,19.2,3.9,2.7,0.138,LOW
PX-13833,Armored,High,59.3,7.9,11.0,2,279,17.7,0.4,5.5,4.3,78.3,,4.1,3.6,0.425,MODERATE
PX-12979,Logistics & ASC,Medium,47.6,0.0,3.7,0,141,52.2,3.6,7.3,1.7,79.5,20.9,2.6,2.9,0.02,LOW
PX-13983,Infantry,Extreme,68.9,15.5,8.1,1,207,17.0,0.0,3.5,10.0,53.4,4.9,4.2,3.9,0.777,ELEVATED
PX-14730,Artillery,Medium,61.5,11.1,3.7,0,135,39.2,2.4,5.3,6.9,82.3,17.5,3.8,2.6,0.314,LOW
PX-12601,Signals,Extreme,55.0,5.6,9.3,3,226,18.5,2.4,4.7,8.1,75.9,8.8,3.6,4.9,0.474,MODERATE
PX-14486,Air Defense,High,49.5,0.0,8.0,1,216,24.7,3.9,6.4,4.5,83.8,19.2,3.5,3.8,0.143,LOW
PX-13074,Logistics & ASC,Extreme,53.9,3.6,7.6,2,234,16.5,0.0,5.5,6.1,71.8,18.7,4.5,4.9,0.414,MODERATE
PX-10877,Artillery,Medium,51.0,3.4,3.6,3,199,56.9,3.3,5.3,5.4,82.6,17.6,4.0,2.3,0.122,LOW
PX-11735,Signals,Extreme,63.9,14.3,10.8,4,254,25.0,0.0,4.4,9.9,68.5,13.9,3.8,3.8,0.662,ELEVATED
PX-14308,Logistics & ASC,Low,36.9,0.0,3.0,1,111,54.7,6.2,6.6,2.1,90.4,22.5,2.8,1.3,0.02,LOW
PX-10101,Signals,Low,40.1,0.0,3.6,2,140,48.4,2.0,7.0,0.7,87.4,25.1,4.0,1.1,0.02,LOW
PX-14378,Logistics & ASC,Low,36.0,0.0,6.9,0,173,42.1,4.8,7.6,0.3,85.7,22.1,2.6,1.9,0.02,LOW
PX-10736,Infantry,High,60.2,13.9,11.4,2,304,30.3,0.7,6.3,6.4,76.2,14.4,3.9,3.8,0.394,MODERATE
PX-12144,Artillery,Extreme,60.3,8.6,7.8,2,222,24.7,1.3,4.5,10.0,71.3,11.6,3.7,3.9,0.666,ELEVATED
PX-14870,Armored,Low,51.1,4.8,7.6,1,205,36.4,2.2,7.7,0.0,84.2,24.7,3.6,1.4,0.02,LOW
PX-11858,Artillery,Medium,48.3,0.1,17.7,2,365,14.6,2.9,6.1,3.8,77.1,17.6,4.0,2.9,0.238,LOW
PX-10362,Infantry,Medium,49.0,2.8,3.8,2,123,48.4,0.3,6.9,3.3,93.4,21.4,4.0,2.9,0.02,LOW
PX-10611,Signals,Medium,41.6,0.0,4.2,1,162,46.4,2.8,6.3,2.5,72.7,22.9,4.3,2.6,0.02,LOW
PX-11113,Logistics & ASC,Extreme,65.6,13.5,11.1,1,296,20.2,0.9,4.4,,71.7,10.6,4.4,4.2,0.721,ELEVATED
PX-11372,Armored,Extreme,61.2,10.4,11.7,5,262,9.2,0.9,4.6,9.5,50.5,15.8,4.5,4.9,0.759,ELEVATED
PX-11610,Artillery,High,64.1,14.0,6.9,1,179,30.7,1.8,5.8,8.0,78.9,17.2,4.8,4.1,0.367,LOW
PX-12098,Infantry,Medium,47.9,0.0,5.7,2,165,43.7,3.1,6.5,4.2,91.9,19.7,4.4,1.9,0.02,LOW
PX-10939,Infantry,Extreme,64.7,14.1,7.1,1,256,19.4,0.2,4.3,10.0,79.9,9.9,3.1,3.8,0.64,MODERATE
PX-14306,Combat Engineers,Extreme,60.3,11.0,8.7,1,212,15.8,0.2,5.0,10.0,89.0,13.0,4.1,4.4,0.476,MODERATE
PX-12622,Infantry,Medium,53.0,0.9,5.5,3,158,45.2,3.4,6.9,1.5,75.9,19.8,4.5,2.9,0.02,LOW
PX-12336,Logistics & ASC,Medium,52.2,4.9,6.0,2,163,34.3,1.7,7.0,2.9,73.9,24.7,4.1,1.9,0.049,LOW
PX-14175,Combat Engineers,Extreme,55.5,7.2,9.4,3,244,20.3,0.0,6.5,5.4,77.6,16.2,4.3,4.4,0.398,MODERATE
PX-11177,Artillery,Medium,49.6,0.0,6.8,2,181,37.5,4.9,6.3,4.7,70.4,17.5,3.3,2.4,0.089,LOW
PX-14500,Infantry,High,58.5,4.7,13.5,2,326,20.3,0.7,5.4,5.7,85.4,14.6,3.5,4.1,0.542,MODERATE
PX-10680,Infantry,Extreme,66.8,10.6,7.5,3,251,27.8,0.2,3.7,10.0,,8.6,3.8,4.0,0.702,ELEVATED
PX-10560,Infantry,Extreme,61.2,9.3,8.1,3,216,27.8,1.1,4.7,9.2,70.9,13.0,3.8,4.2,0.657,ELEVATED
PX-12304,Armored,High,58.9,6.9,5.7,2,172,34.9,1.4,5.3,6.5,75.6,,3.2,3.8,0.363,LOW
PX-13828,Logistics & ASC,Low,46.2,0.0,9.5,2,234,41.1,4.3,6.9,0.2,84.8,23.3,4.0,1.8,0.02,LOW
PX-11521,Combat Engineers,High,66.1,11.9,13.0,0,294,17.5,0.9,5.1,8.2,68.3,9.1,2.1,3.4,0.689,ELEVATED
PX-13487,Signals,Low,47.7,0.9,3.7,2,122,54.5,3.4,7.2,1.1,78.1,20.7,3.1,1.4,0.02,LOW
PX-14522,Air Defense,Low,37.6,0.0,8.0,1,213,32.8,5.4,7.1,0.2,80.3,21.8,3.8,1.6,0.02,LOW
PX-10612,Medical Corps,Low,41.2,0.0,4.1,0,154,51.8,4.7,6.4,1.8,88.9,20.0,3.5,1.7,0.02,LOW
PX-14073,Infantry,High,46.2,0.4,5.9,5,167,40.9,2.9,5.3,6.4,77.6,22.0,4.5,3.1,0.147,LOW
PX-12364,Signals,Low,41.5,0.0,3.8,1,123,45.4,3.2,6.5,1.8,87.2,23.4,4.0,1.1,0.02,LOW
